Current_GPS_Lat,Current_GPS_Lon,Hour_Of_Day,Min_Of_Day,Day_Of_Week,Time_To_Dept,Is_Ticket_Reg,Is_Entering,Is_Exiting,Output_Action
24.073273,120.701243,7,473,5,-1,-1,1,0,0
24.073273,120.701243,7,475,5,-1,-1,0,0,1
24.137501,120.686928,15,944,5,-1,-1,1,0,0
24.118987,120.647883,19,1150,2,6,0,1,0,0
24.171351,120.660234,9,564,4,3,0,0,1,0
24.109922,120.614912,7,440,5,20,0,1,0,2
25.051813,121.604530,8,528,5,2,0,0,1,2
25.014445,121.214801,22,1323,3,12,0,1,0,2
24.118944,120.616505,22,1365,3,2,0,0,1,2
25.013425,121.214136,22,1332,7,3,1,1,0,3
25.013425,121.214136,22,1337,7,40,1,0,0,4
24.112048,120.615803,22,1365,7,2,1,0,1,3
24.111614,120.615578,22,1320,7,-1,1,0,0,4
25.013974,121.463682,18,1129,2,10,1,1,0,3
25.013974,121.463682,19,1140,2,37,1,0,0,4
24.110647,120.615556,21,1290,2,9,0,1,0,3
24.110647,120.615556,21,1301,2,2,0,1,0,3
24.073471,120.699790,7,478,2,-1,-1,1,0,0
24.073471,120.699790,7,479,2,-1,-1,0,0,1
24.109829,120.614157,21,1311,2,5,1,1,0,3
24.109829,120.614157,21,1314,2,2,1,0,0,4
24.137293,120.686929,6,385,1,6,1,1,0,3
24.137293,120.686929,7,446,1,2,1,0,1,3
24.805742,121.039533,1,119,4,5,1,1,0,3
24.073337,120.699875,7,443,3,-1,-1,1,0,0
24.072946,120.699617,7,477,2,-1,-1,1,0,0
24.137541,120.686484,17,1053,4,-1,-1,0,0,2
23.959449,120.569682,21,1290,4,5,1,1,0,4
24.800636,120.970511,7,446,1,2,1,0,1,3
24.988817,121.314357,21,1288,5,2,1,1,0,3
24.137148,120.686742,18,1096,1,3,1,1,0,3
24.073544,120.699775,7,457,5,-1,-1,1,0,0
24.073049,120.699826,7,478,2,-1,-1,1,0,0
24.074403,120.700046,8,488,2,-1,-1,0,0,1
24.153171,120.646456,19,1149,1,2,0,0,1,0
24.153646,120.646691,19,1154,1,-1,0,0,0,1
24.119272,120.647746,19,1198,1,2,0,1,0,0
24.118934,120.647689,19,1166,1,4,0,1,0,0
24.109385,120.620994,20,1228,1,2,0,0,1,0
24.110223,120.614437,20,1205,1,1,0,0,1,0
24.110110,120.615192,20,1207,1,-1,0,0,0,1
24.136956,120.686792,22,1329,1,3,1,0,0,3
24.137092,120.686746,22,1328,1,1,1,0,1,2
24.137700,120.686560,22,1329,1,-1,1,0,0,3
24.119152,120.648036,20,1210,2,2,0,0,1,0
24.118842,120.647707,20,1255,2,-1,0,0,0,1
24.110128,120.614463,21,1316,2,10,0,1,0,0
24.110312,120.614611,21,1270,2,2,0,0,0,1
24.110577,120.615609,14,851,3,6,0,1,0,0
22.686695,120.307666,20,1241,3,4,1,0,1,2
22.686914,120.307285,20,1207,3,-1,0,0,0,3
24.110132,120.614078,16,970,5,5,0,1,0,0
24.167680,120.653612,17,1072,5,1,0,0,1,0
24.167934,120.653770,17,1038,5,-1,0,0,0,1
24.073883,120.700646,16,980,1,-1,-1,1,0,0
24.119629,120.648474,21,1316,2,13,1,0,0,3
24.137310,120.686694,21,1276,2,2,1,0,1,2
24.137048,120.687162,21,1280,2,-1,0,0,0,3
24.119128,120.647484,17,1043,5,2,0,0,1,0
24.119059,120.647578,17,1045,5,-1,0,0,0,1
