北屯總站	首班車	末班車
往 高鐵臺中站	06:00	00:00
往 北屯總站	06:00	00:15

北屯總站	尖峰班距	離峰班距	深夜班距(23:00後)
平日	        6分0秒	        9分0秒	        20分0秒
假日	        8分0秒	        10分0秒         20分0秒

高鐵臺中站	
平日	        6分0秒	        9分0秒	        20分0秒
假日	        8分0秒	        10分0秒	        20分0秒

首班 Hour: 6, Minute: 0
離峰 Hour: 6, Minute: 8
離峰 Hour: 6, Minute: 16
離峰 Hour: 6, Minute: 24
離峰 Hour: 6, Minute: 32
離峰 Hour: 6, Minute: 40
離峰 Hour: 6, Minute: 48
離峰 Hour: 6, Minute: 56
尖峰 Hour: 7, Minute: 2
尖峰 Hour: 7, Minute: 8
尖峰 Hour: 7, Minute: 14
尖峰 Hour: 7, Minute: 20
尖峰 Hour: 7, Minute: 26
尖峰 Hour: 7, Minute: 32
尖峰 Hour: 7, Minute: 38
尖峰 Hour: 7, Minute: 44
尖峰 Hour: 7, Minute: 50
尖峰 Hour: 7, Minute: 56
尖峰 Hour: 8, Minute: 2
尖峰 Hour: 8, Minute: 8
尖峰 Hour: 8, Minute: 14
尖峰 Hour: 8, Minute: 20
尖峰 Hour: 8, Minute: 26
尖峰 Hour: 8, Minute: 32
尖峰 Hour: 8, Minute: 38
尖峰 Hour: 8, Minute: 44
尖峰 Hour: 8, Minute: 50
尖峰 Hour: 8, Minute: 56
尖峰 Hour: 9, Minute: 2
離峰 Hour: 9, Minute: 10
離峰 Hour: 9, Minute: 18
離峰 Hour: 9, Minute: 26
離峰 Hour: 9, Minute: 34
離峰 Hour: 9, Minute: 42
離峰 Hour: 9, Minute: 50
離峰 Hour: 9, Minute: 58
離峰 Hour: 10, Minute: 6
離峰 Hour: 10, Minute: 14
離峰 Hour: 10, Minute: 22
離峰 Hour: 10, Minute: 30
離峰 Hour: 10, Minute: 38
離峰 Hour: 10, Minute: 46
離峰 Hour: 10, Minute: 54
離峰 Hour: 11, Minute: 2
離峰 Hour: 11, Minute: 10
離峰 Hour: 11, Minute: 18
離峰 Hour: 11, Minute: 26
離峰 Hour: 11, Minute: 34
離峰 Hour: 11, Minute: 42
離峰 Hour: 11, Minute: 50
離峰 Hour: 11, Minute: 58
離峰 Hour: 12, Minute: 6
離峰 Hour: 12, Minute: 14
離峰 Hour: 12, Minute: 22
離峰 Hour: 12, Minute: 30
離峰 Hour: 12, Minute: 38
離峰 Hour: 12, Minute: 46
離峰 Hour: 12, Minute: 54
離峰 Hour: 13, Minute: 2
離峰 Hour: 13, Minute: 10
離峰 Hour: 13, Minute: 18
離峰 Hour: 13, Minute: 26
離峰 Hour: 13, Minute: 34
離峰 Hour: 13, Minute: 42
離峰 Hour: 13, Minute: 50
離峰 Hour: 13, Minute: 58
離峰 Hour: 14, Minute: 6
離峰 Hour: 14, Minute: 14
離峰 Hour: 14, Minute: 22
離峰 Hour: 14, Minute: 30
離峰 Hour: 14, Minute: 38
離峰 Hour: 14, Minute: 46
離峰 Hour: 14, Minute: 54
離峰 Hour: 15, Minute: 2
離峰 Hour: 15, Minute: 10
離峰 Hour: 15, Minute: 18
離峰 Hour: 15, Minute: 26
離峰 Hour: 15, Minute: 34
離峰 Hour: 15, Minute: 42
離峰 Hour: 15, Minute: 50
離峰 Hour: 15, Minute: 58
離峰 Hour: 16, Minute: 6
離峰 Hour: 16, Minute: 14
離峰 Hour: 16, Minute: 22
離峰 Hour: 16, Minute: 30
離峰 Hour: 16, Minute: 38
離峰 Hour: 16, Minute: 46
離峰 Hour: 16, Minute: 54
尖峰 Hour: 17, Minute: 0
尖峰 Hour: 17, Minute: 6
尖峰 Hour: 17, Minute: 12
尖峰 Hour: 17, Minute: 18
尖峰 Hour: 17, Minute: 24
尖峰 Hour: 17, Minute: 30
尖峰 Hour: 17, Minute: 36
尖峰 Hour: 17, Minute: 42
尖峰 Hour: 17, Minute: 48
尖峰 Hour: 17, Minute: 54
尖峰 Hour: 18, Minute: 0
尖峰 Hour: 18, Minute: 6
尖峰 Hour: 18, Minute: 12
尖峰 Hour: 18, Minute: 18
尖峰 Hour: 18, Minute: 24
尖峰 Hour: 18, Minute: 30
尖峰 Hour: 18, Minute: 36
尖峰 Hour: 18, Minute: 42
尖峰 Hour: 18, Minute: 48
尖峰 Hour: 18, Minute: 54
尖峰 Hour: 19, Minute: 0
離峰 Hour: 19, Minute: 8
離峰 Hour: 19, Minute: 16
離峰 Hour: 19, Minute: 24
離峰 Hour: 19, Minute: 32
離峰 Hour: 19, Minute: 40
離峰 Hour: 19, Minute: 48
離峰 Hour: 19, Minute: 56
離峰 Hour: 20, Minute: 4
離峰 Hour: 20, Minute: 12
離峰 Hour: 20, Minute: 20
離峰 Hour: 20, Minute: 28
離峰 Hour: 20, Minute: 36
離峰 Hour: 20, Minute: 44
離峰 Hour: 20, Minute: 52
離峰 Hour: 21, Minute: 0
離峰 Hour: 21, Minute: 8
離峰 Hour: 21, Minute: 16
離峰 Hour: 21, Minute: 24
離峰 Hour: 21, Minute: 32
離峰 Hour: 21, Minute: 40
離峰 Hour: 21, Minute: 48
離峰 Hour: 21, Minute: 56
離峰 Hour: 22, Minute: 4
離峰 Hour: 22, Minute: 12
離峰 Hour: 22, Minute: 20
離峰 Hour: 22, Minute: 28
離峰 Hour: 22, Minute: 36
離峰 Hour: 22, Minute: 44
離峰 Hour: 22, Minute: 52
離峰 Hour: 23, Minute: 0
深夜 Hour: 23, Minute: 20
深夜 Hour: 23, Minute: 40
深夜 Hour: 0, Minute: 0
末班 Hour: 0, Minute: 15
